rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
18400,52966.0615512956,41837.6505228911,46851.3043571607,51188.894712058,54329.9389026059,51436.9527027699
18500,53186.5429681738,41965.9943777122,46980.4431458871,51365.3838482323,54526.7668728122,51711.7900491501
18600,53439.5200765887,42149.059153638,47065.1989344734,51595.4039855219,54699.949415395,51958.9747176605
18700,53636.1475640107,42320.0178485346,47213.978417163,51789.6136780898,54893.324402036,52182.2208716979
18800,53859.186902088,42448.5453973252,47404.8608143377,51920.6016732409,55151.4519015927,52456.3215837764
18900,54024.4336646173,42590.8718435297,47520.2834409818,52063.60309354,55396.5359859884,52679.4773430653
19000,54263.5730428479,42719.2950631866,47670.1135048463,52243.8359181131,55639.9092848084,52936.0929732027
19100,54495.3692425804,42837.851057328,47818.86999183,52397.4605032376,55832.1313465538,53159.2111510804
19200,54726.8374219642,42987.502900281,47947.7938333777,52565.2266462805,56021.210518129,53413.5557356658
19300,54974.4559254939,43062.8869235509,48022.9661454681,52707.1463251204,56289.5119409421,53653.665547222
19400,55245.2213369783,43192.5650273471,48169.6827405202,52822.8781904992,56518.8082401345,53883.8922814041
19500,55495.3850494414,43319.0848388328,48371.4559964367,53057.550684907,56719.1856325938,54134.1253571456
19600,55765.555539423,43459.4193544016,48456.0314505532,53265.0940860941,56924.9422879296,54367.0490604048
19700,55958.3925653881,43586.9018784644,48593.62956067,53480.3401225404,57050.4650570114,54543.2890211091
19800,56175.8328191574,43725.6252545814,48784.8474176677,53667.8748836306,57311.3117786764,54750.7660379622
19900,56416.5020188977,43855.3752965951,48891.7151210749,53900.8337098959,57567.7717693333,54987.497449903
20000,56625.8428545373,43952.1612337011,49029.1767328074,54082.0118477212,57761.0324261512,55166.5352394182
20100,56888.6480401385,44104.6659233175,49210.0971150397,54280.373426358,58013.7930562422,55441.3127339025
20200,57163.1401521188,44254.7233659368,49347.3584787352,54473.2250933104,58228.8613481121,55669.9220810107
20300,57395.4517022598,44395.0315329012,49473.531572956,54698.7610441888,58412.859098019,55896.4558561081
20400,57574.7551467482,44525.3866305173,49642.5587129541,54842.6663578773,58577.8529530569,56107.2068531696
20500,57839.9586434889,44644.4552521167,49789.939584121,55049.0432475776,58763.5501111536,56367.1972381278
20600,58062.4754119717,44772.1991399882,49951.1488302236,55307.2909249806,58953.1058130116,56575.9290486674
20700,58302.2147898509,44868.9635149303,50111.4255927544,55408.2500423736,59194.7312310596,56777.9319535085
20800,58588.5875897176,44978.6130965458,50269.9492973096,55499.7826856772,59365.7193562768,57036.3368186646
20900,58819.9212308838,45073.356325284,50405.7739084012,55655.6689348915,59621.0914900271,57220.5623349877
21000,59078.9082544248,45212.1178093328,50553.78843847,55786.6427318894,59785.1604028239,57435.5150032023
21100,59335.5800743873,45289.8128756334,50732.7433607725,55974.17161887,59969.5274832679,57645.2898753084
21200,59513.9598887773,45365.2501108791,50890.726522053,56172.8662146584,60157.2004155065,57868.5272048881
21300,59729.1120403896,45418.6036939345,51059.1981043151,56373.0030464451,60313.1879339419,58087.4907451892
21400,59968.5357049952,45546.5330525866,51196.4808562605,56515.3421325922,60508.4392122937,58316.9934399758
21500,60223.8680227693,45686.4385752834,51321.1569559553,56651.7407670836,60712.0074332852,58520.9165298655
21600,60496.8781369682,45827.1677624736,51373.57707503,56854.7907258839,60956.5513514369,58675.248762281
21700,60709.5075383132,45923.9772860918,51584.5318889953,57018.8201172725,61135.8478921011,58897.6903151205
21800,60932.989467023,46043.1241903635,51668.940322056,57172.5309296489,61287.8278010548,59120.7499254663
21900,61220.0645694579,46138.0298971461,51817.1996505236,57355.237130877,61457.0521640037,59373.8508451509
22000,61492.4138050554,46213.3324009397,51973.8641807775,57509.9810276506,61692.3931616336,59576.2102920535
22100,61738.1692679496,46309.6449245264,52068.5106545598,57675.436051546,61894.4232432746,59785.2057478757
22200,61909.8926940042,46428.4473024407,52194.6590673548,57786.6651482193,62099.090808383,59944.9575755987
22300,62138.3687202265,46472.1585552612,52385.0136742,57938.2030996338,62289.3011435861,60186.3411020942
22400,62427.6462061246,46589.3539658228,52563.7491434045,58109.1400803292,62498.4245945351,60389.7055122736
22500,62637.9397571573,46697.8484008432,52732.3456021591,58342.7627291799,62701.6326507755,60600.6545816774
22600,62880.9553881854,46847.8174008469,52838.0848184684,58453.7987509098,62912.4949000754,60803.9121508431
22700,63041.9202007976,46911.6838533329,52973.1285379506,58608.2965378859,63078.2207076351,61127.0274699774
22800,63260.1099653875,47018.586630802,53057.550767025,58830.9531490022,63290.0155533205,61326.5186590156
22900,63456.4714997109,47083.4488207023,53184.5522792156,58925.1653729033,63493.8725888165,61540.6432546829
23000,63632.4894484442,47171.5227690264,53341.9767831632,58986.0324273123,63665.3790931641,61699.1736924689
23100,63898.417708332,47236.5835555672,53437.8615191464,59140.4123317915,63820.4417109945,61852.676466225
23200,64102.19510827,47353.4021080623,53585.3913536202,59345.0038246376,64076.8486036354,62043.980343844
23300,64332.477084127,47406.6695253194,53752.2812041654,59602.1026000995,64305.9963509141,62270.5268508428
23400,64534.7244707499,47547.3516962947,53825.3693253415,59713.8911863329,64526.1731204703,62487.4773806591
23500,64766.5206025067,47678.0429456829,53953.2641993362,59857.8070023469,64712.0094478249,62714.8494718733
23600,64971.899400139,47773.8664494071,54027.2538986509,60040.1675768681,64885.5747605934,62867.4681401842
23700,65214.6123187341,47860.2697962982,54130.3075918099,60202.6786473386,65086.1426238942,63048.0919095413
23800,65432.7400587977,47924.4874537618,54236.1444193681,60344.4191773703,65222.0583752434,63233.6526360262
23900,65597.7252134423,48030.7866103601,54352.2667641882,60447.3073794847,65376.52162088,63419.6426532745
24000,65787.0056195554,48094.663352596,54501.63636772,60582.5032486044,65544.8020807856,63578.6446488
24100,66010.4713198052,48138.4968247578,54617.4906598003,60683.4567190379,65687.7309581345,63731.6648749459
24200,66273.7124040451,48224.311154025,54755.4040401692,60805.5381721781,65920.0308636864,63891.6120829768
24300,66467.911010582,48298.7002144146,54870.5646404668,60916.8941284829,66078.8649960609,64010.4913964861
24400,66672.5924630631,48385.8493452449,55008.0639788113,61026.5266488848,66290.1116725136,64202.7158722754
24500,66876.7170056775,48460.4673237727,55114.5184786398,61167.9516123023,66496.7678035478,64502.0446875471
24600,67100.5493863798,48546.88625784,55241.3372821137,61281.0278602968,66691.8227138708,64690.6908992934
24700,67339.5310796467,48632.6244417161,55306.118650553,61466.3697686034,66902.6934480342,64873.904175972
24800,67541.2469145198,48741.2806769134,55464.5595458897,61591.9870647043,67093.3675067275,65075.9076222888
24900,67743.7850215671,48868.3391128083,55559.7489105957,61755.1166529511,67230.8105654762,65303.9617446996
25000,67954.3150903342,48976.2851798143,55655.1368115797,61942.3292920271,67346.5460060119,65441.00534642
25100,68152.6750048175,49072.3911051244,55717.8073226899,62052.433765529,67508.5531673193,65592.7980519759
25200,68347.2165759128,49204.2716388728,55790.9543032057,62186.5922958863,67712.1771399941,65747.5422297594
25300,68562.5735972682,49268.4389439305,55886.8829199259,62291.8764271137,67919.0523459799,65927.9307321085
25400,68794.5891816432,49290.5988797677,55981.8470953709,62436.2873340971,68090.9363094989,66097.6408667337
25500,68965.2365131229,49354.9994603311,56045.7774669464,62518.9848006294,68223.4716190881,66267.797872132
25600,69114.4584573099,49440.7292242604,56202.2077221745,62631.6107981131,68415.8186132336,66449.9911076694
25700,69404.6536709694,49516.0877564741,56277.0208857171,62837.3717217247,68559.913956039,66627.7672104045
25800,69636.4762849277,49612.892528412,56395.457715067,62928.9271576149,68765.2907378836,66822.9727436397
