rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
116,0.522172586,0.4418457169,0.4572034989,0.4477544759,0.4455257288,0.4815725574
117,0.5185673646,0.4382514057,0.4619918335,0.4526252453,0.4413577895,0.4776878118
118,0.5193822107,0.4431088514,0.4586421261,0.4487711144,0.4458508107,0.4735189559
119,0.5147882309,0.4477398183,0.4550466228,0.4533500884,0.4420270927,0.470184703
120,0.5123464815,0.4439300068,0.4515106288,0.4578318487,0.4384745781,0.4659493465
121,0.5093261655,0.4486724324,0.4557773973,0.4619088981,0.4347163167,0.4622398606
122,0.5051200715,0.4453127629,0.4522255438,0.458266856,0.4399161781,0.4671115241
123,0.5016737714,0.4499663815,0.4486980173,0.4627982867,0.4447340385,0.4718097468
124,0.4982750579,0.4462716247,0.4452307443,0.4590348429,0.4496312926,0.4682468666
125,0.4999033862,0.4429279402,0.4415403617,0.4628801191,0.4541183101,0.472576716
126,0.4962146648,0.447566066,0.4457331534,0.4593914953,0.450398128,0.4689559761
127,0.4917722332,0.451858874,0.4498250633,0.4560605899,0.4466267489,0.4720381455
128,0.493448761,0.4485526478,0.4463513869,0.4604250616,0.450827997,0.4686848394
129,0.4904710996,0.452756442,0.4509127176,0.4571834202,0.455053842,0.4654161776
130,0.4947576335,0.4494375862,0.4552745872,0.4534701705,0.4578282461,0.461470745
131,0.4919791199,0.4458962706,0.4595155995,0.4578107857,0.4623770984,0.4655328509
132,0.4877874318,0.4426363626,0.456158825,0.4542293106,0.4586545154,0.4617744902
133,0.4874664149,0.4466922564,0.4600143322,0.4576296597,0.455220336,0.4649321097
134,0.4842916796,0.4510233951,0.4566724036,0.4544711783,0.4592459367,0.4628908333
135,0.4817298557,0.4475369172,0.4607958664,0.4583627216,0.4631726146,0.4673341802
136,0.4812574564,0.4513744695,0.4648344052,0.4622836545,0.4600815258,0.4714922292
137,0.4772313115,0.4479270384,0.4616322657,0.4592937513,0.4640550615,0.46788108
138,0.4813872933,0.4446165255,0.4583049166,0.4633518734,0.4608882866,0.4722808688
139,0.4777847486,0.4487284069,0.4553010828,0.4598678339,0.4575289489,0.4690313059
140,0.4742781588,0.4526075233,0.4590463879,0.4567738661,0.4611565154,0.4663124308
141,0.4703924769,0.4493477583,0.4557118129,0.4603732058,0.4580438059,0.4701537431
142,0.4672347539,0.453409418,0.4526643577,0.4570058864,0.4546032935,0.4730247984
143,0.4642611911,0.4573546756,0.4494378452,0.4541580846,0.451627067,0.4768652073
144,0.4616319149,0.4611946562,0.4534798134,0.4576759598,0.4482255965,0.4732659184
145,0.4651681486,0.4647276262,0.450511101,0.46141097,0.4449318607,0.4697646691
146,0.4626166397,0.4683982707,0.4473348327,0.4581323309,0.4489827273,0.4670178945
147,0.4665824668,0.4652341872,0.4508992603,0.455072039,0.4517486391,0.4708303588
148,0.4635260685,0.4621336387,0.4478324884,0.4590148233,0.4553915496,0.4678003427
149,0.4670659187,0.4592183156,0.4513433222,0.4624298027,0.4524227785,0.4657553036
150,0.4708799689,0.4562752437,0.4552229808,0.4658154357,0.4496216732,0.4628650249
151,0.4676734806,0.4596076978,0.4589397321,0.4625618033,0.4518977499,0.4599777639
152,0.4641615446,0.4629770397,0.4561435021,0.4593680711,0.4489763633,0.4567993585
153,0.4613680827,0.4602166203,0.4531204894,0.456210918,0.4520686079,0.460640527
154,0.4652888424,0.4572637725,0.4501515458,0.4599174049,0.4543478758,0.4641928875
155,0.4647331963,0.4606521813,0.4538449707,0.4636330034,0.4579261732,0.4606374764
156,0.4654138612,0.4641660469,0.4571803443,0.4672037654,0.4548500533,0.4626854744
157,0.4687714076,0.4611432577,0.4607468302,0.4704555551,0.4582276173,0.4593929514
158,0.4656433756,0.4642711404,0.4640992143,0.4736726596,0.4618726791,0.4563341524
159,0.4623727215,0.4674922194,0.4673094649,0.4706919024,0.4589877777,0.453447635
160,0.465508731,0.4646370098,0.4645065178,0.4740197456,0.4626556847,0.4568152103
161,0.4622943868,0.4678592927,0.4679033389,0.4710129161,0.4604862192,0.460293722
162,0.4663194236,0.4649585647,0.4650541599,0.4681802621,0.457843708,0.4573284962
163,0.4676985981,0.4620344596,0.4621513568,0.4716683142,0.4550314909,0.4555193522
164,0.4673205879,0.4591557801,0.4651471923,0.4688334057,0.4519953967,0.4527224538
165,0.4663984281,0.4564082964,0.4622453802,0.4658625581,0.4551784835,0.4502148288
166,0.4631925328,0.4594867996,0.4656151595,0.4687955195,0.458399162,0.4535416079
167,0.4601590649,0.4628798616,0.4686673376,0.4661798606,0.4555368752,0.4506939761
168,0.4571034658,0.4600244607,0.4661788787,0.4635800108,0.4584422819,0.4544772888
169,0.4583536268,0.4572486693,0.4633571161,0.4611183882,0.4555671952,0.451566397
170,0.461692956,0.4605145901,0.4665611195,0.463969939,0.4588348346,0.4549978899
171,0.4654305602,0.4579567472,0.4695429602,0.4613671195,0.4622477617,0.4522770415
172,0.4665641454,0.4553358465,0.47228399,0.458768971,0.4597081337,0.4493885591
173,0.4657164162,0.4527375543,0.4696474855,0.4564251989,0.4630766642,0.4527811005
174,0.4691027981,0.4559612663,0.466870866,0.4539562382,0.4604491234,0.4558968246
175,0.4685897226,0.4532452075,0.4640867921,0.4569890947,0.4579321624,0.4591708024
176,0.4721310525,0.4565001368,0.4670193359,0.4543869706,0.4552845779,0.4561959244
177,0.4755296543,0.4594994203,0.4701393652,0.4573374772,0.4526616155,0.4595151118
178,0.472276917,0.456889618,0.4730001054,0.4548515204,0.4547319878,0.4567343858
179,0.4696466009,0.4600562357,0.4702288935,0.4523147124,0.4577816558,0.4598235028
180,0.466537219,0.4573854711,0.4729926742,0.4554589005,0.4552345275,0.4580839536
181,0.4635836597,0.4604426549,0.4704005844,0.4583830488,0.4585364371,0.4611343037
182,0.4606647664,0.4633891424,0.4680787641,0.4613983122,0.4616954486,0.45860143
183,0.461264159,0.4663478994,0.4654833457,0.4645551642,0.4645323766,0.4617809387
184,0.4582979914,0.4691051124,0.4684169058,0.461889989,0.4619653095,0.4598555734
185,0.4614380775,0.4665031329,0.4658454915,0.4593880846,0.46482195,0.4586621895
186,0.4586376479,0.4640676399,0.4632613704,0.4570413667,0.4677097872,0.4601123781
187,0.4592531448,0.4615052324,0.4606666494,0.4546055221,0.4704428522,0.463096598
188,0.4627427567,0.4590944439,0.4637089797,0.4521163549,0.468303811,0.4663457178
189,0.4655332051,0.462009926,0.4663750483,0.4551939808,0.4658206682,0.4694236936
190,0.4628898771,0.4646901664,0.4689251378,0.4526793692,0.4634641663,0.4724406526
191,0.466181505,0.4673040292,0.4666600035,0.4557338059,0.4610867896,0.4749925575
192,0.4641678805,0.4648660323,0.4695204857,0.4584795739,0.4586891812,0.4724246052
193,0.4619276474,0.4625576156,0.4723254985,0.4561756355,0.4563902853,0.4753945278
194,0.4592924529,0.4652299585,0.4698638919,0.4539266818,0.4540831523,0.473514292
195,0.4572294159,0.4629570881,0.4673701429,0.4567649026,0.4566875224,0.4716727238
196,0.4584109028,0.4605849886,0.469895046,0.459598494,0.4596835417,0.474438011
197,0.4574118204,0.4633768395,0.4724552641,0.4622733372,0.4572122897,0.472115925
198,0.4547830837,0.4609460229,0.4702071564,0.4600534885,0.4548481204,0.4750133919
199,0.4580352356,0.4637536979,0.4729641772,0.4626639019,0.4523286239,0.4726637473
200,0.4612737073,0.4614431647,0.4707486158,0.4651970337,0.4550042673,0.4704791758
201,0.4585889772,0.4640715005,0.4684521799,0.4629060643,0.4524767247,0.4680280657
202,0.4594632904,0.4667320139,0.4709066645,0.4605445845,0.4550471066,0.4658723633
203,0.4622766393,0.4645358497,0.468677719,0.4582232377,0.4577405078,0.4637229635
204,0.4603839255,0.4669093937,0.4713532027,0.4609130973,0.4555058085,0.4668209988
205,0.4596745503,0.4646502533,0.4692280731,0.463256008,0.4572725229,0.4693982982
206,0.4574422791,0.4623545183,0.4714456709,0.4608621805,0.4597479749,0.4669071714
207,0.4604045386,0.4649806528,0.4740731286,0.4635683261,0.4574132569,0.4646022416
208,0.4577397088,0.4674552139,0.4719071282,0.4662452398,0.4602618573,0.4658693482
209,0.4555554204,0.4653758892,0.4696639221,0.4640203779,0.4628903995,0.4635403147
