rounds,EBDP,PPIC_alpha2.0,PPIC_alpha1.5,PPIC_alpha1.0,PPIC_alpha0.5,PPIC_alpha0.1
15100,43616.6314562568,40492.3521633423,45826.7334337255,49203.5701341071,50652.5637213749,47299.2604849794
15200,43821.9196793865,40684.5427359387,46014.7971405186,49421.928398403,50937.8048307738,47566.9221505902
15300,44089.2748471525,40841.4714157613,46226.3192508958,49674.2453282135,51200.2608903758,47859.7025722799
15400,44340.188514377,41083.9438226521,46428.3915396627,49894.2013310513,51492.5462889558,48129.371216865
15500,44622.675577101,41264.3153377123,46667.3045550557,50080.6109311391,51800.0346392149,48352.3654386934
15600,44882.9355698775,41409.0568981836,46885.7097332873,50376.9445725391,52113.8028212242,48625.2961824608
15700,45154.3072183224,41602.2870263958,47087.2108929885,50632.4928227114,52387.7989821673,48891.3874430007
15800,45346.369457251,41819.0153642993,47337.789487042,50807.6007019776,52673.5779085006,49157.1692266055
15900,45578.8938378041,41975.4862688322,47548.1820747739,51024.9827186795,52934.2627645478,49472.9857696031
16000,45812.1463278575,42165.5111873397,47785.5488706802,51279.1032057146,53193.9725750672,49799.7798639041
16100,46047.5456629415,42322.3008155628,47963.5579139848,51518.9602551329,53497.3095555209,50038.455466857
16200,46330.0128671772,42431.1610573497,48102.5073110079,51771.681250125,53877.2476661932,50325.5980195846
16300,46536.7556593323,42633.2773043122,48303.6523863272,51968.3921519851,54149.9615463502,50602.8751677797
16400,46797.2861993186,42765.9764663502,48504.86186877,52183.2087896459,54401.2277604612,50881.3164660551
16500,47063.2424535883,42898.5919757383,48742.145351687,52426.5068589532,54660.0813499269,51142.2550727729
16600,47300.7133237805,42983.309458916,48931.2328244119,52647.7031386101,54942.7134654595,51393.5897910729
16700,47468.6056042391,43142.1949919102,49109.6158720285,52850.2776197537,55207.028817841,51734.5376642724
16800,47761.5178753094,43237.7458909058,49309.1649981058,53030.6986060723,55428.9942346035,51927.5674229946
16900,47953.6502646683,43418.0088978759,49549.4320376433,53258.0545741222,55709.851254216,52147.7805778295
17000,48212.6567655708,43588.3292104122,49728.9357634194,53453.6063347291,55858.7225603278,52402.7803805284
17100,48443.7366467688,43781.6424428365,49928.595483396,53714.4036322987,56054.0019628633,52704.1421093468
17200,48724.8562980145,43984.1590309886,50188.7220364259,53897.5938280324,56317.2327490341,53016.5594750837
17300,48966.553853476,44166.8630950643,50380.9859022369,54103.3918969898,56639.5909134229,53273.2658467342
17400,49225.0049895138,44288.1131826642,50619.1106306015,54343.2127534185,56889.2994766433,53564.4199531926
17500,49468.87179436,44446.3970018734,50784.1264374273,54615.894395595,57174.8297451161,53848.2240331569
17600,49701.7722736277,44530.4369364092,50973.9252818252,54864.8101774536,57437.404469614,54116.5760943244
17700,49993.7241850871,44637.2971524994,51103.6819925631,55185.2698464298,57723.0848024586,54325.6584522678
17800,50206.7329781968,44747.3121644264,51261.5320842837,55367.8965604912,57909.2087596758,54591.2977245493
17900,50454.7645851626,44938.9482795044,51436.1484284465,55608.5699363691,58167.1300755826,54854.3230280179
18000,50687.0897855633,45084.3716953868,51590.9628805045,55802.7310021283,58381.2737532579,55112.0329301725
18100,50917.1223775047,45264.2449749376,51768.3950910743,56044.404030768,58564.065882238,55408.8268255351
18200,51180.8224841689,45386.5311733617,51947.5345849414,56275.6397640345,58763.4453499803,55603.0231651322
18300,51339.1218385976,45518.0827892904,52128.2337590435,56462.0552279359,58989.1613875357,55899.1451490518
18400,51548.4401618906,45577.8117529687,52257.456707375,56739.7810019754,59281.6921226087,56142.4675985852
18500,51743.8262769289,45684.3442075279,52459.1408687117,56939.4010433817,59521.2592784384,56386.5635300742
18600,51960.8437915695,45841.6569635869,52625.6823714809,57169.7136551752,59777.6060847542,56655.581556434
18700,52175.0940972406,45973.9661115032,52812.4666545801,57462.2835567727,60007.4264140895,56922.1153342968
18800,52489.3722073213,46095.5478757456,52985.6669255741,57667.3956996036,60286.6338204927,57182.7192011377
18900,52728.3151177724,46239.5175858659,53200.6453597411,57840.4301117334,60584.0011241608,57410.0171675022
19000,52969.7608412633,46371.0703001259,53364.4078630097,58072.146790299,60832.2718809232,57718.8690168267
19100,53166.390908851,46492.5600897764,53541.9159584209,58222.5613980727,61042.059215584,57960.7027406044
19200,53355.8181789987,46624.3924587535,53683.464612855,58372.4938625359,61282.5767327427,58226.2637846473
19300,53580.6525518689,46746.3492499071,53850.8164288355,58679.0902389116,61517.7583205564,58408.1475367691
19400,53764.8658832983,46891.7336813171,54015.7580168503,58863.8566090458,61801.2052250028,58666.6980348482
19500,54002.6565984822,47001.6611221468,54147.2178584952,59075.4304866769,62054.9298340043,58901.5099914007
19600,54195.8097262778,47171.5136248496,54382.9263623596,59284.8782084706,62280.4514811864,59139.1870594753
19700,54412.4071454192,47340.6296662848,54559.7715670353,59550.3853279997,62497.9061763719,59378.333172103
19800,54711.1094740766,47435.9604048012,54678.1394306261,59746.9451411756,62746.7457186916,59637.0903907444
19900,54969.718432832,47544.7251749964,54853.6579207597,59954.2503477553,62985.3197975781,59854.4361540893
20000,55176.5077102758,47665.2416320474,55020.1111974593,60195.7256912402,63157.8961935338,60104.3701855992
20100,55385.9906676402,47762.3713108568,55183.4052846115,60402.5474307676,63406.6184368415,60382.80657355
20200,55628.6442694276,47883.120631812,55311.9469832646,60561.0977909431,63669.8836415247,60601.3077658666
20300,55876.0716785118,47979.8549430099,55371.1644469464,60708.8334927435,63915.148748075,60892.0685582853
20400,56105.5887686703,48100.7119138374,55523.1347729444,60966.2634460873,64149.3191283405,61150.6767482451
20500,56360.7400502068,48231.1026860527,55688.6903021692,61138.3953729044,64390.2645177949,61353.149763733
20600,56589.9200632819,48436.8442866967,55843.443924915,61321.4674949018,64620.2487283092,61534.1241731394
20700,56791.686261501,48570.2127959059,56009.6671519002,61536.0459310176,64879.0096932812,61717.3849866348
20800,57005.7006257977,48630.8488751486,56185.4652325984,61707.652856474,65185.5690250534,61959.0557803328
20900,57228.9817213207,48715.7287472473,56279.9134252379,61924.7169439339,65379.2252658841,62246.7993182259
21000,57423.5119777416,48894.807601675,56466.0685596981,62154.0273112648,65637.8446318146,62429.5620180087
21100,57620.2536981208,48944.0057207657,56607.3812175767,62371.434699789,65911.5779741245,62660.1119518509
21200,57939.3954805311,49076.2993057553,56760.7120756994,62567.5262213808,66128.4085723751,62892.0464445282
21300,58118.7676599653,49197.5669537853,56948.3676578156,62668.1192332701,66356.9595054097,63169.4399614181
21400,58306.180700842,49233.6785076184,57149.8657190315,62852.0471197102,66617.6211011024,63384.0232875157
21500,58454.7435919461,49378.2055450224,57328.3648412722,63059.3525781868,66833.6207882472,63565.2324855752
21600,58685.8386709309,49521.4165873099,57528.0471063276,63154.1678336747,67054.0571598487,63824.908860443
21700,58855.5246846442,49617.0153803666,57658.0613056544,63351.5912809834,67362.6261131199,64093.1884052
21800,59089.0667785418,49772.0920889185,57790.0232037462,63498.9961811777,67572.423976259,64325.5639231034
21900,59290.3147467666,49905.136535904,57952.3738211206,63639.475289142,67787.5902194513,64544.1338503371
22000,59491.0579578342,50025.5866076925,58082.2104412014,63836.818396254,67974.5791936844,64796.9044674802
22100,59745.4455946503,50179.7480026148,58212.26761483,63978.6262775589,68213.0466229541,64993.3958220255
22200,59948.7990924583,50289.2078538983,58356.1283229237,64148.5369013579,68511.5068802702,65258.1708865672
22300,60162.1626077202,50423.3506893489,58453.3255346243,64254.0275907812,68729.3003329944,65470.6388548431
22400,60337.2946246979,50542.6447754529,58582.8989201391,64358.0760458033,68938.4501693449,65630.6537333244
22500,60572.3158087742,50664.171138415,58640.7870805476,64451.1399827999,69124.203831448,65872.0438390365
22600,60813.3416107316,50749.0807789886,58793.3677474691,64667.1256261381,69342.058637952,66057.708427834
22700,60990.9824110728,50881.05137157,58945.686186122,64826.599682248,69517.789071212,66322.070855741
22800,61138.5484527324,51025.3263006418,59064.1390681754,65032.3047589942,69651.9022578209,66521.2806801711
22900,61351.9355715391,51097.7306276534,59181.084171751,65182.2708807163,69825.0696891864,66741.3629261233
23000,61504.7311703943,51181.9840716345,59275.2535469249,65334.4789261025,69999.1761790846,66889.2546863901
23100,61754.1603697838,51303.2118511215,59335.279214952,65509.4396845374,70313.1558528393,67137.7973723782
23200,61921.219440522,51387.6250025948,59439.962695592,65681.9771224728,70453.5513713251,67390.0040119355
23300,62157.7763938318,51506.8265637494,59558.0513815571,65817.521677185,70597.1312484801,67610.3808775197
23400,62325.2293002358,51639.3315670335,59664.491805919,65953.9366339737,70834.227846098,67821.8267186458
23500,62536.3871686518,51759.6783018651,59819.4236793685,66113.5489935268,71113.4640615255,68053.6777960021
23600,62737.8799992967,51879.481261843,59926.8480890004,66251.9497072825,71316.6816254589,68234.3571741162
23700,63023.0757167624,52023.9128742523,59973.6702377253,66375.92113962,71481.5782954414,68489.9827568184
23800,63267.9619527074,52060.192486976,60092.455163801,66504.4094829418,71699.1900825129,68715.9533224005
23900,63460.3530866703,52241.5813534831,60223.3572773921,66644.4815912139,71915.8792298997,68914.8584104672
24000,63658.5235639847,52398.9373510432,60402.6999700429,66819.1635940639,72116.6662382749,69159.6413038303
24100,63865.6579330572,52519.6949395467,60522.27833832,66957.2972071017,72354.6125892037,69351.3114865772
24200,64044.6684574619,52627.7528878514,60675.0334794991,67143.0315377087,72514.8273517132,69608.5942112567
24300,64239.2908826207,52687.1178033388,60768.8259585938,67269.9128451054,72706.6367038056,69829.5053823505
24400,64487.1277833979,52759.898822163,60876.1697433038,67407.1067279219,72915.9277680809,70057.0805815648
24500,64734.6974965344,52845.7799783706,60992.297028064,67543.1970754996,73118.566084227,70284.3012321788
24600,64937.7407732895,52928.7883726752,61146.3675034993,67702.1136576546,73388.2586597616,70485.3845164597
24700,65168.3266875885,52965.6223680257,61239.6994889589,67771.5018166162,73557.8770176871,70715.3210127963
24800,65385.873647207,53099.2294928098,61392.2139805562,67955.4821770707,73741.5890774914,70985.1567043003
24900,65556.6450306027,53207.3079271757,61451.6418732562,68128.5518131267,73840.2199665191,71176.9684147926
25000,65735.9308945234,53327.0756106764,61559.4780431413,68322.762867924,74097.0010399209,71407.2068492269
25100,65938.3164070539,53387.0437687463,61689.7492645297,68448.893688084,74293.8685002232,71607.765845498
25200,66095.2306977291,53507.0382059329,61842.9953277883,68541.6076573562,74588.9274139776,71781.6721242302
25300,66296.7597679957,53579.2582953103,61925.309158332,68716.4292718611,74738.7706713909,71965.3723741591
25400,66502.1468697225,53686.4755656588,62020.1854188299,68879.3297453626,74934.6919353456,72167.9543040394
25500,66710.6974541488,53806.2526977826,62221.839585385,69072.735596783,75174.4121048346,72381.0650225819
25600,66870.6126426739,53867.2889909563,62306.4362299404,69175.9140415971,75301.7583784508,72597.9704790323
25700,67070.0742284663,53938.9542729586,62401.7776949279,69342.0048757436,75499.0663566043,72817.8200676612
25800,67242.745420914,54035.0563029404,62473.0932602124,69535.2293968233,75670.6951977159,72991.8598639658
25900,67421.3494926064,54166.3281663926,62555.5459890725,69638.4465369284,75888.1318295472,73193.5137699622
26000,67616.513798642,54226.652415303,62650.7570929102,69767.459486837,76029.4938795664,73442.4272999326
